               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.049876,            0.026258,           0.0019958,             0.75279,             0.71385,             0.83351,             0.37792,            0.042731,             0.01622,           0.0023497,           0.0059235,           0.0059235,           0.0059235
                  49,             0.05057,            0.027007,           0.0018447,             0.76275,             0.60899,             0.73251,             0.29461,             0.05125,            0.016606,           0.0022124,           0.0057826,           0.0057826,           0.0057826
                  50,             0.04795,            0.028698,           0.0018977,             0.70278,             0.64766,             0.77932,             0.40474,            0.042897,            0.016514,           0.0022121,           0.0056413,           0.0056413,           0.0056413
                  51,            0.050222,            0.027544,           0.0018282,             0.67065,             0.81677,             0.78054,             0.37042,            0.044999,            0.016625,           0.0023082,              0.0055,              0.0055,              0.0055
                  52,            0.052087,            0.031736,           0.0017542,             0.63245,             0.79414,             0.77213,             0.33786,            0.042826,             0.01675,           0.0022172,           0.0053587,           0.0053587,           0.0053587
                  53,            0.050087,            0.024718,           0.0018967,             0.77991,             0.76883,             0.83235,              0.4457,            0.039142,            0.017113,           0.0022275,           0.0052174,           0.0052174,           0.0052174
                  54,            0.044265,            0.029468,           0.0017355,             0.71786,             0.78253,             0.77899,             0.40936,            0.040083,            0.016881,             0.00206,           0.0050765,           0.0050765,           0.0050765
                  55,            0.043624,            0.026485,           0.0016564,             0.74891,              0.8206,             0.80361,             0.38735,            0.038688,             0.01696,           0.0020261,            0.004936,            0.004936,            0.004936
                  56,             0.04386,            0.025553,           0.0016707,             0.67995,             0.63694,             0.70147,             0.33074,            0.040323,            0.017577,           0.0020991,            0.004796,            0.004796,            0.004796
                  57,            0.044001,            0.027599,           0.0015931,             0.72646,             0.85185,             0.83887,             0.43022,            0.040732,            0.017435,           0.0020686,           0.0046568,           0.0046568,           0.0046568
                  58,             0.04538,            0.027115,           0.0015148,             0.68664,             0.81944,             0.81093,             0.44419,            0.037996,            0.017564,           0.0021402,           0.0045184,           0.0045184,           0.0045184
                  59,            0.042176,            0.026208,           0.0015153,             0.85885,             0.83796,             0.86953,             0.48931,            0.039397,            0.017558,           0.0020888,           0.0043809,           0.0043809,           0.0043809
                  60,            0.046298,            0.029312,           0.0014815,             0.87444,             0.78387,             0.87341,             0.40594,            0.035733,            0.017044,            0.002029,           0.0042445,           0.0042445,           0.0042445
                  61,            0.040797,            0.024712,           0.0015139,             0.80496,             0.80556,             0.83939,              0.3688,            0.040998,            0.017213,           0.0019428,           0.0041094,           0.0041094,           0.0041094
                  62,            0.044196,            0.027377,           0.0015346,             0.70414,              0.8425,             0.76205,             0.37805,            0.035319,            0.017257,           0.0019862,           0.0039757,           0.0039757,           0.0039757
                  63,            0.043894,            0.025439,           0.0015472,             0.81547,             0.83796,             0.86191,             0.47851,            0.039231,            0.017046,           0.0020098,           0.0038434,           0.0038434,           0.0038434
                  64,            0.041179,            0.028042,           0.0016301,             0.85296,             0.84722,             0.89121,             0.52866,            0.035137,            0.017137,            0.002074,           0.0037128,           0.0037128,           0.0037128
                  65,            0.037862,            0.026659,           0.0015835,             0.84258,             0.84699,              0.8724,             0.51814,            0.034915,             0.01718,           0.0021492,            0.003584,            0.003584,            0.003584
                  66,            0.036502,            0.025891,           0.0018387,             0.89808,             0.85491,             0.90165,              0.5769,            0.032447,            0.016383,           0.0020184,            0.003457,            0.003457,            0.003457
                  67,            0.035943,            0.024836,           0.0016327,             0.91544,             0.82488,             0.90455,             0.53028,            0.033699,            0.016173,           0.0018822,           0.0033321,           0.0033321,           0.0033321
                  68,            0.036217,            0.028123,           0.0013141,             0.85737,              0.8518,             0.90745,             0.55145,            0.034303,             0.01624,           0.0016902,           0.0032093,           0.0032093,           0.0032093
                  69,            0.038852,             0.02596,           0.0013222,             0.94671,             0.84722,             0.91069,             0.56548,             0.03276,            0.016224,           0.0016511,           0.0030888,           0.0030888,           0.0030888
                  70,            0.036114,             0.02187,           0.0012648,              0.9361,             0.85185,              0.9156,              0.5633,            0.034385,            0.016346,           0.0015772,           0.0029706,           0.0029706,           0.0029706
                  71,            0.035787,            0.024003,           0.0011356,             0.91856,             0.85151,             0.90754,              0.5789,            0.031052,            0.016096,           0.0015463,            0.002855,            0.002855,            0.002855
                  72,            0.037192,            0.025552,           0.0012262,             0.89865,             0.83796,             0.88884,             0.54227,            0.035467,            0.016254,           0.0014621,           0.0027419,           0.0027419,           0.0027419
                  73,            0.035345,            0.026316,           0.0010181,             0.93817,             0.85631,             0.91566,             0.60315,            0.031559,            0.016296,           0.0014507,           0.0026316,           0.0026316,           0.0026316
                  74,            0.037002,            0.026433,           0.0010116,             0.91727,             0.85288,              0.9069,             0.59345,            0.033276,            0.016217,           0.0014156,           0.0025241,           0.0025241,           0.0025241
                  75,            0.033471,             0.02311,          0.00093007,             0.94589,             0.82005,             0.91628,              0.5961,            0.030338,            0.016041,           0.0013451,           0.0024195,           0.0024195,           0.0024195
                  76,            0.035771,            0.026351,          0.00092489,             0.87117,             0.89797,             0.91487,             0.59888,            0.032464,            0.015977,           0.0012899,            0.002318,            0.002318,            0.002318
                  77,            0.036832,            0.025492,          0.00094003,             0.90749,             0.87391,             0.91735,             0.60337,            0.031161,             0.01602,           0.0012794,           0.0022196,           0.0022196,           0.0022196
                  78,            0.034111,            0.022205,          0.00091566,             0.93013,             0.87114,             0.91968,             0.62227,            0.030699,            0.015807,           0.0012533,           0.0021245,           0.0021245,           0.0021245
                  79,            0.032163,            0.023092,          0.00084477,             0.92915,             0.86249,              0.9199,             0.60296,            0.029705,            0.015862,           0.0012553,           0.0020327,           0.0020327,           0.0020327
                  80,             0.03222,            0.024606,          0.00080099,              0.9157,             0.87495,             0.91796,             0.60002,            0.029917,            0.015925,           0.0012601,           0.0019443,           0.0019443,           0.0019443
                  81,            0.033199,            0.022225,          0.00081944,             0.90994,             0.87395,             0.91748,             0.60513,            0.030188,            0.015734,           0.0012302,           0.0018594,           0.0018594,           0.0018594
                  82,            0.033129,            0.026495,          0.00078511,             0.92996,             0.87963,              0.9154,             0.61679,             0.03031,            0.015676,           0.0012481,           0.0017781,           0.0017781,           0.0017781
                  83,            0.032204,            0.024653,          0.00079247,             0.94048,             0.88426,              0.9182,             0.59878,            0.030333,            0.015509,           0.0012154,           0.0017005,           0.0017005,           0.0017005
                  84,            0.032428,            0.026502,          0.00074102,             0.94374,             0.88418,             0.92079,              0.6133,            0.029585,            0.015518,           0.0011956,           0.0016267,           0.0016267,           0.0016267
                  85,            0.030841,            0.021564,          0.00081274,             0.94153,             0.88607,             0.92553,             0.60981,            0.029909,            0.015427,           0.0011665,           0.0015566,           0.0015566,           0.0015566
                  86,             0.03271,            0.022744,          0.00077861,              0.9228,             0.89604,             0.92762,             0.64662,            0.028856,            0.015235,           0.0011295,           0.0014905,           0.0014905,           0.0014905
                  87,            0.029953,            0.023038,          0.00073779,             0.92796,             0.89352,             0.92593,             0.64231,            0.029089,            0.015324,           0.0011019,           0.0014283,           0.0014283,           0.0014283
                  88,            0.031724,            0.023626,          0.00065705,             0.93473,             0.88381,             0.92575,             0.62566,            0.029452,            0.015578,           0.0011163,           0.0013701,           0.0013701,           0.0013701
                  89,            0.030376,            0.023167,          0.00073325,             0.92478,             0.88426,             0.92478,             0.64141,            0.028819,            0.015647,            0.001105,            0.001316,            0.001316,            0.001316
                  90,            0.033604,            0.024346,          0.00074276,             0.92985,             0.87961,             0.92734,             0.64727,            0.028891,            0.015719,           0.0011033,            0.001266,            0.001266,            0.001266
                  91,            0.029918,             0.02499,           0.0005909,             0.92599,             0.88393,             0.92463,             0.64171,            0.029088,            0.015776,           0.0010784,           0.0012202,           0.0012202,           0.0012202
                  92,            0.033169,            0.027958,          0.00064177,             0.92597,              0.8826,             0.92405,              0.6456,            0.028798,            0.015806,           0.0010814,           0.0011787,           0.0011787,           0.0011787
                  93,            0.032813,            0.025915,          0.00062261,             0.92743,              0.8945,             0.92571,             0.64659,            0.029473,            0.015829,           0.0010589,           0.0011414,           0.0011414,           0.0011414
                  94,            0.029706,            0.022314,          0.00061905,             0.91687,             0.88522,             0.92412,             0.64248,             0.02945,            0.015741,           0.0010404,           0.0011084,           0.0011084,           0.0011084
                  95,            0.030131,            0.023528,          0.00068886,              0.9255,             0.87987,             0.92686,             0.63439,            0.029539,            0.015831,           0.0010526,           0.0010797,           0.0010797,           0.0010797
                  96,            0.031585,            0.022856,          0.00062433,             0.92991,             0.87224,             0.92232,             0.62922,            0.029455,            0.015959,           0.0010812,           0.0010554,           0.0010554,           0.0010554
                  97,            0.030379,            0.021253,          0.00058309,             0.93452,             0.86567,             0.92087,             0.63235,             0.02969,            0.016034,           0.0010905,           0.0010355,           0.0010355,           0.0010355
                  98,            0.030768,            0.026122,          0.00083439,             0.93974,             0.86318,             0.92047,             0.63751,            0.029675,              0.0161,           0.0010921,             0.00102,             0.00102,             0.00102
                  99,            0.029803,            0.024842,          0.00055586,             0.92961,             0.86846,             0.91979,             0.64636,             0.02917,            0.016172,           0.0010716,           0.0010089,           0.0010089,           0.0010089
