               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.012317,           0.0037931,          0.00064346,             0.93404,             0.94825,             0.98154,             0.86645,            0.012144,            0.004819,          0.00045683,           0.0016267,           0.0016267,           0.0016267
                  85,            0.011894,           0.0041536,          0.00066043,             0.91476,             0.97442,             0.98333,              0.8711,            0.011995,           0.0046204,           0.0004485,           0.0015566,           0.0015566,           0.0015566
                  86,            0.011837,           0.0041127,          0.00053759,             0.91827,              0.9674,              0.9834,              0.8702,             0.01192,           0.0046518,          0.00041538,           0.0014905,           0.0014905,           0.0014905
                  87,            0.012041,           0.0040556,          0.00060103,             0.92796,             0.95724,              0.9825,             0.86796,            0.011917,           0.0046096,          0.00041703,           0.0014283,           0.0014283,           0.0014283
                  88,            0.011545,            0.003941,          0.00057182,             0.92581,             0.94705,             0.98101,              0.8707,             0.01187,           0.0047796,          0.00040583,           0.0013701,           0.0013701,           0.0013701
                  89,            0.011832,           0.0038449,          0.00050821,              0.9402,             0.93802,             0.98147,             0.87166,            0.011889,           0.0047649,          0.00039104,            0.001316,            0.001316,            0.001316
                  90,            0.011807,           0.0037108,          0.00052539,             0.91804,             0.96277,             0.98056,             0.87354,            0.011971,           0.0047361,          0.00039725,            0.001266,            0.001266,            0.001266
                  91,            0.011618,            0.003905,          0.00046964,             0.92095,             0.96384,             0.98035,             0.86987,            0.011965,            0.004825,          0.00038851,           0.0012202,           0.0012202,           0.0012202
                  92,            0.012009,           0.0037214,          0.00054209,             0.91983,             0.95871,             0.98083,             0.86926,            0.012197,           0.0048589,          0.00040155,           0.0011787,           0.0011787,           0.0011787
                  93,            0.011684,            0.003675,          0.00048776,             0.91455,             0.96444,             0.98034,              0.8719,            0.011912,           0.0047731,          0.00039034,           0.0011414,           0.0011414,           0.0011414
                  94,            0.012063,           0.0037809,           0.0005792,             0.93715,             0.94341,              0.9788,             0.87161,            0.011845,           0.0047719,          0.00038521,           0.0011084,           0.0011084,           0.0011084
                  95,             0.01117,            0.003615,          0.00046163,             0.91868,             0.96231,             0.97961,             0.87131,            0.011823,           0.0047806,          0.00037351,           0.0010797,           0.0010797,           0.0010797
                  96,            0.011191,            0.003795,          0.00049778,             0.89895,             0.97798,             0.98038,             0.87241,             0.01178,           0.0047981,          0.00040191,           0.0010554,           0.0010554,           0.0010554
                  97,             0.01162,           0.0036359,          0.00048279,             0.94139,             0.93625,             0.98122,             0.87296,            0.011761,           0.0047204,          0.00040423,           0.0010355,           0.0010355,           0.0010355
                  98,            0.011444,           0.0037023,          0.00050634,             0.91735,             0.96027,              0.9801,             0.87613,            0.011705,           0.0046766,           0.0003702,             0.00102,             0.00102,             0.00102
                  99,            0.011553,           0.0036455,          0.00057747,             0.90802,             0.97034,             0.98015,             0.87058,            0.011519,           0.0046837,          0.00034763,           0.0010089,           0.0010089,           0.0010089
