               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.015172,           0.0043229,          0.00089909,             0.88803,             0.98203,             0.97582,             0.85855,            0.012821,           0.0046159,           0.0006732,           0.0030888,           0.0030888,           0.0030888
                  70,             0.01479,           0.0041283,          0.00084455,             0.90695,              0.9686,             0.97596,             0.85762,             0.01282,           0.0044989,          0.00069798,           0.0029706,           0.0029706,           0.0029706
                  71,            0.014094,           0.0041551,          0.00076239,             0.90278,              0.9687,             0.97699,             0.86026,            0.012763,           0.0046318,          0.00067727,            0.002855,            0.002855,            0.002855
                  72,              0.0134,           0.0040023,          0.00081532,             0.88826,             0.98517,             0.97026,             0.84636,            0.013119,           0.0047599,          0.00065002,           0.0027419,           0.0027419,           0.0027419
                  73,            0.014237,           0.0042728,          0.00083306,             0.89762,             0.97993,             0.97205,             0.85242,            0.012967,           0.0046163,          0.00066043,           0.0026316,           0.0026316,           0.0026316
                  74,            0.013174,             0.00384,            0.000833,             0.90335,             0.98015,             0.97644,             0.86139,            0.012299,           0.0045551,           0.0006719,           0.0025241,           0.0025241,           0.0025241
                  75,            0.013568,           0.0037815,          0.00070265,             0.89624,              0.9795,             0.97691,             0.86888,            0.012613,             0.00457,          0.00058133,           0.0024195,           0.0024195,           0.0024195
                  76,            0.013275,            0.003824,          0.00074059,             0.88722,             0.97773,             0.97321,             0.85982,            0.012313,           0.0047208,          0.00057281,            0.002318,            0.002318,            0.002318
                  77,            0.012696,           0.0040266,          0.00072833,             0.89148,             0.97885,             0.97336,             0.85968,            0.012306,           0.0048004,          0.00059325,           0.0022196,           0.0022196,           0.0022196
                  78,            0.012613,           0.0041436,           0.0007076,             0.90225,             0.97591,             0.97948,             0.86226,            0.012078,           0.0045775,          0.00062178,           0.0021245,           0.0021245,           0.0021245
                  79,            0.011962,           0.0037147,          0.00077812,              0.9109,             0.96581,             0.97858,             0.86827,            0.011878,           0.0045424,          0.00053273,           0.0020327,           0.0020327,           0.0020327
                  80,            0.012479,           0.0039434,          0.00070323,             0.90261,             0.96943,             0.97726,             0.86814,            0.012273,           0.0047154,          0.00048905,           0.0019443,           0.0019443,           0.0019443
