               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.021987,           0.0062468,           0.0014325,               0.913,             0.96461,             0.97519,             0.79595,             0.01811,           0.0056797,           0.0015443,           0.0059235,           0.0059235,           0.0059235
                  49,             0.02231,           0.0062486,           0.0013197,             0.91516,             0.95173,              0.9712,             0.79623,            0.017766,           0.0054574,           0.0013795,           0.0057826,           0.0057826,           0.0057826
                  50,             0.02274,           0.0062214,           0.0015019,              0.8736,              0.9857,             0.96961,             0.79159,            0.017302,           0.0055358,           0.0012332,           0.0056413,           0.0056413,           0.0056413
                  51,            0.023117,           0.0062212,           0.0013428,              0.8744,             0.96981,             0.94313,             0.75808,            0.018611,           0.0057835,           0.0014734,              0.0055,              0.0055,              0.0055
                  52,            0.022686,           0.0064096,           0.0013216,             0.89362,             0.95873,             0.96888,             0.80188,            0.016675,           0.0055138,           0.0010696,           0.0053587,           0.0053587,           0.0053587
                  53,            0.021572,           0.0060675,           0.0012475,             0.90779,             0.93839,             0.96799,             0.77485,             0.01825,           0.0056981,            0.000964,           0.0052174,           0.0052174,           0.0052174
                  54,            0.022195,           0.0065125,           0.0012535,             0.93345,             0.94717,             0.97271,              0.8031,            0.016112,           0.0054805,          0.00098276,           0.0050765,           0.0050765,           0.0050765
                  55,            0.020462,           0.0061209,           0.0013098,             0.89831,              0.9647,             0.96358,             0.77249,            0.016657,           0.0055169,          0.00097303,            0.004936,            0.004936,            0.004936
                  56,             0.02061,           0.0057536,           0.0012333,             0.89188,             0.94878,             0.96741,             0.79256,             0.01734,           0.0054873,          0.00089881,            0.004796,            0.004796,            0.004796
                  57,            0.021227,           0.0057831,           0.0011977,             0.90059,             0.97116,              0.9646,             0.81034,            0.016699,           0.0052497,          0.00087308,           0.0046568,           0.0046568,           0.0046568
                  58,            0.019886,           0.0056968,           0.0012266,             0.88566,             0.97739,             0.96863,             0.80716,             0.01612,           0.0053813,          0.00083832,           0.0045184,           0.0045184,           0.0045184
                  59,            0.018836,           0.0054357,           0.0011331,              0.9009,             0.97429,             0.97232,             0.82031,            0.015107,           0.0052886,          0.00083755,           0.0043809,           0.0043809,           0.0043809
                  60,            0.018968,            0.005685,           0.0010016,             0.90531,             0.97263,             0.97388,             0.81962,              0.0158,            0.005357,          0.00082206,           0.0042445,           0.0042445,           0.0042445
                  61,            0.018466,           0.0056836,           0.0010118,              0.9042,             0.97875,             0.97461,             0.80695,            0.016203,           0.0051099,          0.00079093,           0.0041094,           0.0041094,           0.0041094
                  62,            0.018615,           0.0054344,           0.0010307,              0.9103,             0.96383,             0.97215,             0.81951,            0.015621,           0.0051043,          0.00076411,           0.0039757,           0.0039757,           0.0039757
                  63,            0.018019,           0.0054539,          0.00098309,             0.90244,             0.96094,             0.97471,              0.8181,            0.015468,           0.0051502,          0.00071503,           0.0038434,           0.0038434,           0.0038434
                  64,            0.018164,           0.0053667,          0.00095254,             0.94648,             0.92827,             0.97722,             0.82949,            0.014869,           0.0052061,          0.00078067,           0.0037128,           0.0037128,           0.0037128
                  65,            0.017104,           0.0052422,          0.00093636,             0.90905,             0.96221,             0.97724,             0.81891,            0.014762,           0.0050934,          0.00069954,            0.003584,            0.003584,            0.003584
                  66,            0.016946,           0.0053668,          0.00096663,             0.88934,             0.97617,             0.97129,             0.81088,            0.014868,           0.0052512,          0.00076102,            0.003457,            0.003457,            0.003457
